Author,Date,Region,Sentence,Translated
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra ben condotta serve l'opera per tale ragione, ecc. E dall'altro lato, Aiace era un nobile e prode cavaliere, di aspetto imponente, ma non era dotato di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Sii crudele, prendi vendetta di tutte le colpe, come vuole la legge, e non perdonare nessun cavaliere che commetta una colpa."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano, cavaliere romano, non fu adornato di altra forza d'animo."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo per cavaliere e non per compagno, non tratterrò più i fati."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'ufficio di questa arte sembra essere quello di affermare specificamente per far credere, e lo scopo è far credere attraverso le parole."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco, i grandi venti piovosi cadono, dissolvendo le nebbie; e potresti credere che tutto il cielo cada nel mare."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Perché or chi potrebbe sperare quello che, anche coloro che non vogliono ancora credere in Cristo, già vedono con noi, e poiché non lo possono negare, stridono i denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Le vendite dei morti e le pressioni dei vivi fecero la frode di un re feroce.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché egli, il quale ora, a causa della sua grande malvagità, è feroce e onorevole, sia afflitto e tormentato da ogni male a causa della sua empietà verso mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"""Gli uomini spesso, stando fermi nella bugia, incontrano la verità."""
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, si riservò studiosamente per parlare per ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,cose che io sapeva che erano fatte in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nepote di Ortensio, visse una vita più bassa e più viziosa."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Similmente, un amante invocando pietà presso la sua donna pronuncia molte parole e argomenti, e lei si difende con le sue parole."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Io mi ricordo (ch. 347) che, essendo adirato, maltrattai la mia donna. Oh, quanti giorni mi tolse questa ira!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"Colui del quale tu ti solevi dolere, che era l'amante della tua donna."
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano ancora il numero di coloro della congiurazione, perché la donna non nominava i nomi."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Cretini? Certo, quand'egli si mosse, egli ti disse: ""O fedele mia donna, fa' che al mio posto tu raccomandi il nostro ospite troiano."""
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu soppressa la malvagità di una donna con un inganno simile, allo stesso tempo di questo signore della repubblica, in questo modo:"
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E si lamentavano dell'iniquità di Appio, e compiangevano la malavventurata beltà della pulcella e la necessità del padre."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","""Nella quale battaglia, certo io ebbi sempre il coraggio di parlare di pace e sempre mi addolorai nel vedere che non soltanto la pace era rifiutata."""
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda tende talora, per la grande provvidenza, a rendere timoroso, e la prima, per l'ardire, a rendere gli altri matti."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei Cartaginesi e tutta la legione trasse con sé.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non lo volle riconoscere come nemico. Questa è quella, la quale diede il coraggio al profeta Natan di rimproverare con grande autorità quel re, che aveva peccato."
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Le armi e insieme con loro passavano tra i nemici, però se qualcuno non avesse avuto il coraggio di farlo, eppure avevano questo animo."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Pertanto ragionevolmente Giobbe è interpretato dolente.
