Author,Date,Region,Sentence,Translated
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu condotta bene perché eccetera. E d'altra parte, Aiace era un cavaliere coraggioso e valoroso in battaglia, di grande statura, ma non era dotato di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Sii crudele e vendica tutte le colpe secondo quanto prescrive la legge, senza perdonare alcun cavaliere che commetta un errore."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non fu dotato di altra forza d'animo Ponzio Aufidiano, cavaliere romano."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","""Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo come cavaliere e non come compagno, non mi opporrò più al destino."""
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'obiettivo di questa arte sembra essere quello di dire intenzionalmente per far credere, con il fine ultimo di far credere attraverso le parole."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco, i larghi venti carichi di pioggia fanno cadere le nebbie ormai sciolte; e potresti credere che tutto il cielo precipitasse nel mare."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Poiché ora chi potrebbe sperare che anche coloro che non vogliono ancora credere in Cristo, già vedono con noi, e poiché non possono negarlo, digrignano i denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Le vendite dei morti e le pressioni sui vivi furono causate dalla frode di un re feroce.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché colui, che ora a causa delle sue grandi colpe è feroce e onorato, sia invece afflitto e tormentato da ogni male a causa della sua empietà nei confronti di mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini spesso, restando fermi nella menzogna, incontrano la verità."
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che faceva parte dei dieci compagni, si riservò di parlare per ultimo con grande attenzione."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,cose che sapevo essere fatte in Italia
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nipote di Ortensio, condusse una vita più umile e più depravata."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Inoltre, un amante che chiede pietà alla sua donna pronuncia molte parole e argomenti, e lei si difende con le sue parole."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi ricordo (capitolo 347) che, essendo arrabbiato, maltrattai mia moglie. Oh, quanti giorni quella rabbia mi fece perdere!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"""colui di cui tu eri solito lamentarti perché era innamorato della tua donna"""
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano già i nomi di coloro della congiura, perché la donna non nominava già i nomi."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","""Cretino? Certo, quando lui si mosse, lui ti disse: ""O mia fedele donna, fa' che al mio posto tu raccomandi il nostro ospite troiano""."""
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu ripresa la malvagità di una donna con una bugia simile, nello stesso periodo di questo signore della repubblica, in questo modo:"
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.",Si lamentavano dell'ingiustizia di Appio e piangevano la sfortunata bellezza della ragazza e la necessità del padre.
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In cui battaglia, certamente io ebbi sempre il coraggio di parlare di pace e sempre mi addolorai che non solo la pace era rifiutata."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda è solita a volte, a causa della grande provvidenza, incutere timore, e la prima, a causa della sua audacia, rendere gli altri folli."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Si recò nell'accampamento dei Cartaginesi e condusse con sé l'intera legione.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",Non lo riconobbe come nemico. Questa è colei che diede al profeta Natan il coraggio di rimproverare con grande autorità quel re che aveva peccato.
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Le armi e insieme a loro si fecero strada tra i nemici, poiché se qualcuno non avesse avuto il coraggio di farlo, avrebbero avuto comunque questo animo."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,"Pertanto, Giobbe è ragionevolmente interpretato come sofferente;"
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Quello che sopra tutti gli altri perdoni ai cittadini e in cui potete avere la massima fiducia, poiché è stato il vostro comandante."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","È inutile chiedersi chi abbia scritto questo Libro, poiché si deve credere con fermezza che il suo autore sia lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse molto comune, sembrerebbe certamente ancora più incredibile: di certo è più facile credere a questo, considerando che lo spirito umano si avvicina al divino e il mutevole all'immutevole."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,che ricevessero il pagamento dal tesoriere per il loro sostentamento e immediatamente si recassero alla presenza di Sua Santità per opporsi al passaggio dei cavalieri che provenivano da Cecilia in Toscana
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Achelao con grande meraviglia e disse: ""Oh, messer Achelao, vi prego di dirmi in che modo avete perduto""."
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero di poter inviare presto Timoteo da voi, così che io possa stare tranquillo."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Senza fallo, il cinghiale selvatico supera l'uomo nell'udire e il lupo cerviero nel vedere."
